Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)den.?bommel(?:[^a-zA-Z]|\b),Den Bommel,1024,10293,1,5,0.2
(?:[^a-zA-Z]|\b)den.?dungen(?:[^a-zA-Z]|\b),Den Dungen,768,10491,0,2,0.0
(?:[^a-zA-Z]|\b)den.?ham(?:[^a-zA-Z]|\b),Den Ham,159,10395,6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)den.?helder(?:[^a-zA-Z]|\b),Den Helder,400,10285,4,40,0.1
(?:[^a-zA-Z]|\b)denekamp(?:[^a-zA-Z]|\b),Denekamp,149,10245,2,4,0.5
(?:[^a-zA-Z]|\b)deurne.?en.?liessel(?:[^a-zA-Z]|\b),Deurne en Liessel,1041,10379,0,0,0.0
(?:[^a-zA-Z]|\b)deursen|dennenburg(?:[^a-zA-Z]|\b),Deursen en Dennenburg,1042,10209,0,10,0.0
(?:[^a-zA-Z]|\b)devent(er|\.)(?:[^a-zA-Z]|\b),Deventer,150,10899,67,357,0.1876750700280112
(?:[^a-zA-Z]|\b)didam(?:[^a-zA-Z]|\b),Didam,218,10153,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)diede(n|n.?.?demen.?e?n?.?langel)(?:[^a-zA-Z]|\b),"Dieden, Demen en Langel",1043,11138,0,0,0.0
(?:[^a-zA-Z]|\b)diemen(?:[^a-zA-Z]|\b),Diemen,384,11039,3,25,0.12
(?:[^a-zA-Z]|\b)diepenheim(?:[^a-zA-Z]|\b),Diepenheim,151,10311,1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)diepenveen(?:[^a-zA-Z]|\b),Diepenveen,152,10933,4,13,0.3076923076923077
(?:[^a-zA-Z]|\b)diessen(?:[^a-zA-Z]|\b),Diessen,763,11185,0,0,0.0
(?:[^a-zA-Z]|\b)diever(?:[^a-zA-Z]|\b),Diever,111,10418,0,5,0.0
(?:[^a-zA-Z]|\b)dinteloord|prinsenland(?:[^a-zA-Z]|\b),Dinteloord en Prinsenland,764,11193,2,4,0.5
(?:[^a-zA-Z]|\b)dinther(?:[^a-zA-Z]|\b),Dinther,1044,10690,0,2,0.0
(?:[^a-zA-Z]|\b)dinxperlo(?:[^a-zA-Z]|\b),Dinxperlo,219,11154,0,0,0.0
(?:[^a-zA-Z]|\b)dirksland(?:[^a-zA-Z]|\b),Dirksland,504,11344,4,15,0.26666666666666666
(?:[^a-zA-Z]|\b)dodewaard(?:[^a-zA-Z]|\b),Dodewaard,220,10647,0,1,0.0
(?:[^a-zA-Z]|\b)doesburg(?:[^a-zA-Z]|\b),Doesburg,221,10327,11,45,0.24444444444444444
(?:[^a-zA-Z]|\b)dokkum(?:[^a-zA-Z]|\b),Dokkum,66,10198,8,47,0.1702127659574468
(?:[^a-zA-Z]|\b)domburg(?:[^a-zA-Z]|\b),Domburg,660,10236,3,17,0.17647058823529413
(?:[^a-zA-Z]|\b)dommelen(?:[^a-zA-Z]|\b),Dommelen,1045,10424,0,2,0.0
(?:[^a-zA-Z]|\b)dongen(?:[^a-zA-Z]|\b),Dongen,766,11412,6,31,0.1935483870967742
