Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)col(ij|y)nsplaat(?:[^a-zA-Z]|\b),Colijnsplaat,1038,10121,0,1,0.0
(?:[^a-zA-Z]|\b)cothen(?:[^a-zA-Z]|\b),Cothen,314,11316,0,5,0.0
(?:[^a-zA-Z]|\b)cromvoirt(?:[^a-zA-Z]|\b),Cromvoirt,1039,10053,0,3,0.0
(?:[^a-zA-Z]|\b)cu(ij|y)k.?en.?(st.?|sint).?agatha(?:[^a-zA-Z]|\b),Cuijk en Sint Agatha,761,10023,0,0,0.0
(?:[^a-zA-Z]|\b)cule(n|m)b(o|u)rg|kuilenb(u|o)rg(?:[^a-zA-Z]|\b),Culemborg,216,10342,0,64,0.0
(?:[^a-zA-Z]|\b)dalen(?:[^a-zA-Z]|\b),Dalen,110,11004,0,118,0.0
(?:[^a-zA-Z]|\b)dalfsen(?:[^a-zA-Z]|\b),Dalfsen,148,11007,0,68,0.0
(?:[^a-zA-Z]|\b)dantumadeel(?:[^a-zA-Z]|\b),Dantumadeel,65,10650,0,3,0.0
(?:[^a-zA-Z]|\b)de.?bilt(?:[^a-zA-Z]|\b),De Bilt,310,10168,0,2,0.0
(?:[^a-zA-Z]|\b)de.?lier(?:[^a-zA-Z]|\b),De Lier,552,10241,0,8,0.0
(?:[^a-zA-Z]|\b)de.r(ij|y)p(?:[^a-zA-Z]|\b),De Rijp,440,11417,0,26,0.0
(?:[^a-zA-Z]|\b)de.?werke(n|n.?e?n?.? sleeuwijk)(?:[^a-zA-Z]|\b),de Werken en Sleeuwijk,1222,10116,0,129,0.0
(?:[^a-zA-Z]|\b)de.w(ij|y)k(?:[^a-zA-Z]|\b),De Wijk,135,10753,0,96,0.0
(?:[^a-zA-Z]|\b)deil(?:[^a-zA-Z]|\b),Deil,217,10057,0,12,0.0
(?:[^a-zA-Z]|\b)delf(t?)shaven(?:[^a-zA-Z]|\b),Delfshaven,1040,10908,0,49,0.0
(?:[^a-zA-Z]|\b)delft(?:[^a-zA-Z]|\b),Delft,503,10928,1,408,0.0024509803921568627
(?:[^a-zA-Z]|\b)delfz(ij|y)l(?:[^a-zA-Z]|\b),Delfzijl,10,10976,0,65,0.0
(?:[^a-zA-Z]|\b)den.?bommel(?:[^a-zA-Z]|\b),Den Bommel,1024,10293,0,17,0.0
(?:[^a-zA-Z]|\b)den.?dungen(?:[^a-zA-Z]|\b),Den Dungen,768,10491,0,14,0.0
(?:[^a-zA-Z]|\b)den.?ham(?:[^a-zA-Z]|\b),Den Ham,159,10395,0,29,0.0
(?:[^a-zA-Z]|\b)den.?helder(?:[^a-zA-Z]|\b),Den Helder,400,10285,0,25,0.0
(?:[^a-zA-Z]|\b)denekamp(?:[^a-zA-Z]|\b),Denekamp,149,10245,0,11,0.0
(?:[^a-zA-Z]|\b)deurne.?en.?liessel(?:[^a-zA-Z]|\b),Deurne en Liessel,1041,10379,0,0,0.0
(?:[^a-zA-Z]|\b)deursen|dennenburg(?:[^a-zA-Z]|\b),Deursen en Dennenburg,1042,10209,0,16,0.0
(?:[^a-zA-Z]|\b)devent(er|\.)(?:[^a-zA-Z]|\b),Deventer,150,10899,3,485,0.006185567010309278
(?:[^a-zA-Z]|\b)didam(?:[^a-zA-Z]|\b),Didam,218,10153,0,9,0.0
(?:[^a-zA-Z]|\b)diede(n|n.?.?demen.?e?n?.?langel)(?:[^a-zA-Z]|\b),"Dieden, Demen en Langel",1043,11138,0,3,0.0
(?:[^a-zA-Z]|\b)diemen(?:[^a-zA-Z]|\b),Diemen,384,11039,0,11,0.0
(?:[^a-zA-Z]|\b)diepenheim(?:[^a-zA-Z]|\b),Diepenheim,151,10311,0,10,0.0
(?:[^a-zA-Z]|\b)diepenveen(?:[^a-zA-Z]|\b),Diepenveen,152,10933,0,34,0.0
(?:[^a-zA-Z]|\b)diessen(?:[^a-zA-Z]|\b),Diessen,763,11185,0,0,0.0
(?:[^a-zA-Z]|\b)diever(?:[^a-zA-Z]|\b),Diever,111,10418,0,42,0.0
(?:[^a-zA-Z]|\b)dinteloord|prinsenland(?:[^a-zA-Z]|\b),Dinteloord en Prinsenland,764,11193,0,12,0.0
(?:[^a-zA-Z]|\b)dinther(?:[^a-zA-Z]|\b),Dinther,1044,10690,0,10,0.0
(?:[^a-zA-Z]|\b)dinxperlo(?:[^a-zA-Z]|\b),Dinxperlo,219,11154,0,4,0.0
(?:[^a-zA-Z]|\b)dirksland(?:[^a-zA-Z]|\b),Dirksland,504,11344,0,21,0.0
(?:[^a-zA-Z]|\b)dodewaard(?:[^a-zA-Z]|\b),Dodewaard,220,10647,0,13,0.0
(?:[^a-zA-Z]|\b)doesburg(?:[^a-zA-Z]|\b),Doesburg,221,10327,0,106,0.0
(?:[^a-zA-Z]|\b)dokkum(?:[^a-zA-Z]|\b),Dokkum,66,10198,0,63,0.0
(?:[^a-zA-Z]|\b)domburg(?:[^a-zA-Z]|\b),Domburg,660,10236,0,3,0.0
(?:[^a-zA-Z]|\b)dommelen(?:[^a-zA-Z]|\b),Dommelen,1045,10424,0,0,0.0
(?:[^a-zA-Z]|\b)dongen(?:[^a-zA-Z]|\b),Dongen,766,11412,0,42,0.0
(?:[^a-zA-Z]|\b)doniawerstal(?:[^a-zA-Z]|\b),Doniawerstal,67,10086,0,8,0.0
(?:[^a-zA-Z]|\b)doorn(?:[^a-zA-Z]|\b),Doorn,315,10213,0,53,0.0
(?:[^a-zA-Z]|\b)doornsp(ij|y)k(?:[^a-zA-Z]|\b),Doornspijk,223,10069,0,10,0.0
(?:[^a-zA-Z]|\b)doorwerth(?:[^a-zA-Z]|\b),Doorwerth,1046,11304,0,12,0.0
(?:[^a-zA-Z]|\b)dordrecht|dodrech\.(?:[^a-zA-Z]|\b),Dordrecht,505,11157,0,377,0.0
(?:[^a-zA-Z]|\b)dreischor(?:[^a-zA-Z]|\b),Dreischor,1047,10885,0,2,0.0
(?:[^a-zA-Z]|\b)dreumel(?:[^a-zA-Z]|\b),Dreumel,224,11232,0,13,0.0
(?:[^a-zA-Z]|\b)driebergen(?:[^a-zA-Z]|\b),Driebergen,1048,10777,0,34,0.0
