Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)diepenheim(?:[^a-zA-Z]|\b);Diepenheim;151;10311
(?:[^a-zA-Z]|\b)diepenveen(?:[^a-zA-Z]|\b);Diepenveen;152;10933
(?:[^a-zA-Z]|\b)diessen(?:[^a-zA-Z]|\b);Diessen;763;11185
(?:[^a-zA-Z]|\b)diever(?:[^a-zA-Z]|\b);Diever;111;10418
(?:[^a-zA-Z]|\b)dinteloord|prinsenland(?:[^a-zA-Z]|\b);Dinteloord en Prinsenland;764;11193
(?:[^a-zA-Z]|\b)dinther(?:[^a-zA-Z]|\b);Dinther;1044;10690
(?:[^a-zA-Z]|\b)dinxperlo(?:[^a-zA-Z]|\b);Dinxperlo;219;11154
(?:[^a-zA-Z]|\b)dirksland(?:[^a-zA-Z]|\b);Dirksland;504;11344
(?:[^a-zA-Z]|\b)dodewaard(?:[^a-zA-Z]|\b);Dodewaard;220;10647
(?:[^a-zA-Z]|\b)doesburg(?:[^a-zA-Z]|\b);Doesburg;221;10327
(?:[^a-zA-Z]|\b)dokkum(?:[^a-zA-Z]|\b);Dokkum;66;10198
(?:[^a-zA-Z]|\b)domburg(?:[^a-zA-Z]|\b);Domburg;660;10236
(?:[^a-zA-Z]|\b)dommelen(?:[^a-zA-Z]|\b);Dommelen;1045;10424
(?:[^a-zA-Z]|\b)dongen(?:[^a-zA-Z]|\b);Dongen;766;11412
(?:[^a-zA-Z]|\b)doniawerstal(?:[^a-zA-Z]|\b);Doniawerstal;67;10086
(?:[^a-zA-Z]|\b)doorn(?:[^a-zA-Z]|\b);Doorn;315;10213
(?:[^a-zA-Z]|\b)doornsp(ij|y)k(?:[^a-zA-Z]|\b);Doornspijk;223;10069
(?:[^a-zA-Z]|\b)doorwerth(?:[^a-zA-Z]|\b);Doorwerth;1046;11304
(?:[^a-zA-Z]|\b)dordrecht|dodrech\.(?:[^a-zA-Z]|\b);Dordrecht;505;11157
(?:[^a-zA-Z]|\b)dreischor(?:[^a-zA-Z]|\b);Dreischor;1047;10885
(?:[^a-zA-Z]|\b)dreumel(?:[^a-zA-Z]|\b);Dreumel;224;11232
(?:[^a-zA-Z]|\b)driebergen(?:[^a-zA-Z]|\b);Driebergen;1048;10777
(?:[^a-zA-Z]|\b)driel(?:[^a-zA-Z]|\b);Driel;1248;10341
(?:[^a-zA-Z]|\b)driewegen(?:[^a-zA-Z]|\b);Driewegen;661;11115
(?:[^a-zA-Z]|\b)drongele(n|n.?.?hangoord.?.?gansoyen.?.?e?n?doevere)(?:[^a-zA-Z]|\b);Drongelen,Haagoord,Gansoyen,Doevere;1263;10111
(?:[^a-zA-Z]|\b)drunen(?:[^a-zA-Z]|\b);Drunen;767;10428
(?:[^a-zA-Z]|\b)druten(?:[^a-zA-Z]|\b);Druten;225;10068
(?:[^a-zA-Z]|\b)dubbeldam(?:[^a-zA-Z]|\b);Dubbeldam;507;10781
(?:[^a-zA-Z]|\b)duiven(?:[^a-zA-Z]|\b);Duiven;226;11028
(?:[^a-zA-Z]|\b)duivend(ij|y)ke(?:[^a-zA-Z]|\b);Duivendijke;1050;10335
(?:[^a-zA-Z]|\b)duizel|steensel(?:[^a-zA-Z]|\b);Duizel en Steensel;1051;11005
(?:[^a-zA-Z]|\b)dusse(n|munster.?.?en.?muilkerk)(?:[^a-zA-Z]|\b);Dussen, Munster en Muilkerk;1265;10261
(?:[^a-zA-Z]|\b)dwingeloo?(?:[^a-zA-Z]|\b);Dwingeloo;112;10331
