Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)cu(ij|y)k.?en.?(st.?|sint).?agatha(?:[^a-zA-Z]|\b),Cuijk en Sint Agatha,761,10023,0,1,0.0
(?:[^a-zA-Z]|\b)cule(n|m)b(o|u)rg|kuilenb(u|o)rg(?:[^a-zA-Z]|\b),Culemborg,216,10342,15,76,0.19736842105263158
(?:[^a-zA-Z]|\b)dalen(?:[^a-zA-Z]|\b),Dalen,110,11004,4,81,0.04938271604938271
(?:[^a-zA-Z]|\b)dalfsen(?:[^a-zA-Z]|\b),Dalfsen,148,11007,14,53,0.2641509433962264
(?:[^a-zA-Z]|\b)dantumadeel(?:[^a-zA-Z]|\b),Dantumadeel,65,10650,1,2,0.5
(?:[^a-zA-Z]|\b)de.?bilt(?:[^a-zA-Z]|\b),De Bilt,310,10168,3,10,0.3
(?:[^a-zA-Z]|\b)de.?lier(?:[^a-zA-Z]|\b),De Lier,552,10241,0,17,0.0
(?:[^a-zA-Z]|\b)de.r(ij|y)p(?:[^a-zA-Z]|\b),De Rijp,440,11417,3,9,0.3333333333333333
(?:[^a-zA-Z]|\b)de.?werke(n|n.?e?n?.? sleeuwijk)(?:[^a-zA-Z]|\b),de Werken en Sleeuwijk,1222,10116,13,71,0.18309859154929578
(?:[^a-zA-Z]|\b)de.w(ij|y)k(?:[^a-zA-Z]|\b),De Wijk,135,10753,10,74,0.13513513513513514
(?:[^a-zA-Z]|\b)deil(?:[^a-zA-Z]|\b),Deil,217,10057,2,13,0.15384615384615385
(?:[^a-zA-Z]|\b)delf(t?)shaven(?:[^a-zA-Z]|\b),Delfshaven,1040,10908,10,80,0.125
(?:[^a-zA-Z]|\b)delft(?:[^a-zA-Z]|\b),Delft,503,10928,276,712,0.38764044943820225
(?:[^a-zA-Z]|\b)delfz(ij|y)l(?:[^a-zA-Z]|\b),Delfzijl,10,10976,14,102,0.13725490196078433
(?:[^a-zA-Z]|\b)den.?bommel(?:[^a-zA-Z]|\b),Den Bommel,1024,10293,2,22,0.09090909090909091
(?:[^a-zA-Z]|\b)den.?dungen(?:[^a-zA-Z]|\b),Den Dungen,768,10491,2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)den.?ham(?:[^a-zA-Z]|\b),Den Ham,159,10395,9,33,0.2727272727272727
(?:[^a-zA-Z]|\b)den.?helder(?:[^a-zA-Z]|\b),Den Helder,400,10285,5,29,0.1724137931034483
(?:[^a-zA-Z]|\b)denekamp(?:[^a-zA-Z]|\b),Denekamp,149,10245,4,10,0.4
(?:[^a-zA-Z]|\b)deurne.?en.?liessel(?:[^a-zA-Z]|\b),Deurne en Liessel,1041,10379,0,0,0.0
(?:[^a-zA-Z]|\b)deursen|dennenburg(?:[^a-zA-Z]|\b),Deursen en Dennenburg,1042,10209,1,16,0.0625
(?:[^a-zA-Z]|\b)devent(er|\.)(?:[^a-zA-Z]|\b),Deventer,150,10899,74,323,0.22910216718266255
(?:[^a-zA-Z]|\b)didam(?:[^a-zA-Z]|\b),Didam,218,10153,0,4,0.0
(?:[^a-zA-Z]|\b)diede(n|n.?.?demen.?e?n?.?langel)(?:[^a-zA-Z]|\b),"Dieden, Demen en Langel",1043,11138,0,5,0.0
(?:[^a-zA-Z]|\b)diemen(?:[^a-zA-Z]|\b),Diemen,384,11039,0,15,0.0
(?:[^a-zA-Z]|\b)diepenheim(?:[^a-zA-Z]|\b),Diepenheim,151,10311,3,15,0.2
(?:[^a-zA-Z]|\b)diepenveen(?:[^a-zA-Z]|\b),Diepenveen,152,10933,2,4,0.5
(?:[^a-zA-Z]|\b)diessen(?:[^a-zA-Z]|\b),Diessen,763,11185,0,0,0.0
(?:[^a-zA-Z]|\b)diever(?:[^a-zA-Z]|\b),Diever,111,10418,2,5,0.4
(?:[^a-zA-Z]|\b)dinteloord|prinsenland(?:[^a-zA-Z]|\b),Dinteloord en Prinsenland,764,11193,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)dinther(?:[^a-zA-Z]|\b),Dinther,1044,10690,0,3,0.0
(?:[^a-zA-Z]|\b)dinxperlo(?:[^a-zA-Z]|\b),Dinxperlo,219,11154,0,3,0.0
(?:[^a-zA-Z]|\b)dirksland(?:[^a-zA-Z]|\b),Dirksland,504,11344,3,22,0.13636363636363635
(?:[^a-zA-Z]|\b)dodewaard(?:[^a-zA-Z]|\b),Dodewaard,220,10647,0,4,0.0
(?:[^a-zA-Z]|\b)doesburg(?:[^a-zA-Z]|\b),Doesburg,221,10327,9,29,0.3103448275862069
(?:[^a-zA-Z]|\b)dokkum(?:[^a-zA-Z]|\b),Dokkum,66,10198,11,44,0.25
(?:[^a-zA-Z]|\b)domburg(?:[^a-zA-Z]|\b),Domburg,660,10236,6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)dommelen(?:[^a-zA-Z]|\b),Dommelen,1045,10424,0,2,0.0
(?:[^a-zA-Z]|\b)dongen(?:[^a-zA-Z]|\b),Dongen,766,11412,0,20,0.0
