Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)delfz(ij|y)l(?:[^a-zA-Z]|\b),14,102,0.13725490196078433
(?:[^a-zA-Z]|\b)denekamp(?:[^a-zA-Z]|\b),4,10,0.4
(?:[^a-zA-Z]|\b)deurne(?:[^a-zA-Z]|\b),2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)deursen|dennenburg(?:[^a-zA-Z]|\b),1,16,0.0625
(?:[^a-zA-Z]|\b)devent(er|\.)(?:[^a-zA-Z]|\b),74,323,0.22910216718266255
(?:[^a-zA-Z]|\b)didam(?:[^a-zA-Z]|\b),0,4,0.0
(?:[^a-zA-Z]|\b)diede(n|n.?.?demen.?e?n?.?langel)(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)diemen(?:[^a-zA-Z]|\b),0,15,0.0
(?:[^a-zA-Z]|\b)diepenheim(?:[^a-zA-Z]|\b),3,15,0.2
(?:[^a-zA-Z]|\b)diepenveen(?:[^a-zA-Z]|\b),2,4,0.5
(?:[^a-zA-Z]|\b)diessen(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)diever(?:[^a-zA-Z]|\b),2,5,0.4
(?:[^a-zA-Z]|\b)dinteloord|prinsenland(?:[^a-zA-Z]|\b),1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)dinther(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)dinxperlo(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)dirksland(?:[^a-zA-Z]|\b),3,22,0.13636363636363635
(?:[^a-zA-Z]|\b)dodewaard(?:[^a-zA-Z]|\b),0,4,0.0
(?:[^a-zA-Z]|\b)doesburg(?:[^a-zA-Z]|\b),9,29,0.3103448275862069
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b),4,22,0.18181818181818182
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b),4,22,0.18181818181818182
(?:[^a-zA-Z]|\b)dokkum(?:[^a-zA-Z]|\b),11,44,0.25
(?:[^a-zA-Z]|\b)domburg(?:[^a-zA-Z]|\b),6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)dommelen(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)dongen(?:[^a-zA-Z]|\b),0,20,0.0
(?:[^a-zA-Z]|\b)doniawerstal(?:[^a-zA-Z]|\b),1,9,0.1111111111111111
(?:[^a-zA-Z]|\b)doorn(?:[^a-zA-Z]|\b),9,108,0.08333333333333333
(?:[^a-zA-Z]|\b)doornsp(ij|y)k(?:[^a-zA-Z]|\b),0,4,0.0
(?:[^a-zA-Z]|\b)doorwerth(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)dordrecht|dodrech\.(?:[^a-zA-Z]|\b),285,799,0.3566958698372966
(?:[^a-zA-Z]|\b)dreischor(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)dreumel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)driebergen(?:[^a-zA-Z]|\b),5,31,0.16129032258064516
(?:[^a-zA-Z]|\b)driel(?:[^a-zA-Z]|\b),7,30,0.23333333333333334
(?:[^a-zA-Z]|\b)driewegen(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)drongele(n|n.?.?hangoord.?.?gansoyen.?.?e?n?doevere)(?:[^a-zA-Z]|\b),0,6,0.0
(?:[^a-zA-Z]|\b)drunen(?:[^a-zA-Z]|\b),2,11,0.18181818181818182
(?:[^a-zA-Z]|\b)druten(?:[^a-zA-Z]|\b),0,11,0.0
(?:[^a-zA-Z]|\b)dubbeldam(?:[^a-zA-Z]|\b),8,33,0.24242424242424243
(?:[^a-zA-Z]|\b)duiven(?:[^a-zA-Z]|\b),2,19,0.10526315789473684
(?:[^a-zA-Z]|\b)duivend(ij|y)ke(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)duizel|steensel(?:[^a-zA-Z]|\b),6,28,0.21428571428571427
(?:[^a-zA-Z]|\b)den.?dungen(?:[^a-zA-Z]|\b),2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)dussen(?:[^a-zA-Z]|\b),6,28,0.21428571428571427
(?:[^a-zA-Z]|\b)dwingeloo?(?:[^a-zA-Z]|\b),1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)echt(?:[^a-zA-Z]|\b),6,185,0.032432432432432434
(?:[^a-zA-Z]|\b)echteld(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)edam(?:[^a-zA-Z]|\b),5,42,0.11904761904761904
(?:[^a-zA-Z]|\b)ede(?:[^a-zA-Z]|\b),9,80,0.1125
(?:[^a-zA-Z]|\b)eede(?:[^a-zA-Z]|\b),4,22,0.18181818181818182
(?:[^a-zA-Z]|\b)eelde(?:[^a-zA-Z]|\b),3,11,0.2727272727272727
(?:[^a-zA-Z]|\b)eemnes(?:[^a-zA-Z]|\b),4,18,0.2222222222222222
(?:[^a-zA-Z]|\b)eenrum(?:[^a-zA-Z]|\b),1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)eersel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)egmond.?aan.?zee(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)egmond.?binnen(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)eibergen(?:[^a-zA-Z]|\b),4,33,0.12121212121212122
(?:[^a-zA-Z]|\b)e(ij|y)gelshoven(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)e(ij|y)sden(?:[^a-zA-Z]|\b),2,4,0.5
(?:[^a-zA-Z]|\b)eindhoven(?:[^a-zA-Z]|\b),31,169,0.1834319526627219
(?:[^a-zA-Z]|\b)elburg(?:[^a-zA-Z]|\b),0,16,0.0
(?:[^a-zA-Z]|\b)elkerzee(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)ellemeet(?:[^a-zA-Z]|\b),2,18,0.1111111111111111
(?:[^a-zA-Z]|\b)ellewoutsd(ij|y)k(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)elsloo(?:[^a-zA-Z]|\b),0,11,0.0
(?:[^a-zA-Z]|\b)elst(?:[^a-zA-Z]|\b),3,22,0.13636363636363635
(?:[^a-zA-Z]|\b)emmen(?:[^a-zA-Z]|\b),1,19,0.05263157894736842
(?:[^a-zA-Z]|\b)emmikhoven(?:[^a-zA-Z]|\b),3,6,0.5
