Regex,name,cbscode,amsterdamcode
\bgiethoorn\b,Giethoorn,155,10708
\bgilze[\s\w]?en[\s\w]?r(ij|y)en\b,Gilze en Rijen,784,11375
\bginneken\b|\bbavel\b,Ginneken en Bavel,1064,10406
\bgoedereede\b,Goedereede,511,10981
\bg(h?)oes(ch?)\b,Goes,664,10674
\bgoirle\b,Goirle,785,10971
\bgoor\b,Goor,156,10076
\bgorinchem\b,Gorinchem,512,10942
\bgorssel\b,Gorssel,239,10085
\bgouda\b,Gouda,513,10302
\bgouderak\b,Gouderak,514,11258
\bgoudriaan\b,Goudriaan,515,10450
\bgoudswaard\b,Goudswaard,516,10914
\bgraauw\b|\blangendam\b,Graauw en Langendam,665,10312
\bgrafhorst\b,Grafhorst,1065,10224
\bgraft\b,Graft,389,10484
\bgramsbergen\b,Gramsbergen,157,11339
\bgrathem\b,Grathem,909,11008
\bgrave\b,Grave,786,10165
\bgrevenbicht\b,Grevenbicht,910,10624
\bgr(ij|y)pskerk\b,Grijpskerk,16,10244
\bgr(ij|y)pskerke\b,Grijpskerke,1067,10801
\bgroede\b,Groede,667,11312
\bgroenlo\b,Groenlo,240,11094
\bgroesbeek\b,Groesbeek,241,10616
\bgr(ö|o)ning(s|en|\.)\b,Groningen,14,10426
\bgrons(f|v)eld\b,Gronsveld,911,10323
\bgroot[\s\w]?ammers\b,Groot-Ammers,520,11205
\bgroot[\s\w]?lindt\b,Groote Lindt,1066,11042
\bgrootebroek\b,Grootebroek,391,11337
\bgrootegast\b,Grootegast,15,11080
\bgrubbenvorst\b,Grubbenvorst,912,10176
\bgulpen\b,Gulpen,913,11032
\bhaaften\b,Haaften,242,10125
\bhaaksbergen\b,Haaksbergen,158,11435
\bhaamstede\b,Haamstede,1068,10701
\bhaaren\b,Haaren,788,11155
\bha[\s\w]?rlem|haarl(am|\.)\b,Haarlem,392,10357
\bhaarlemmerliede[\s\w]?en[\s\w]?spaarnwoude\b,Haarlemmerliede en Spaarnwoude,393,10508
\bhaarlemmermeer\b,Haarlemmermeer,394,11387
\bhaarzuilens\b,Haarzuilens,1069,10737
\bhaastrecht\b,Haastrecht,521,11049
\bhaelen\b,Haelen,914,10321
\bhagestein\b,Hagestein,522,10297
\bhalsteren\b,Halsteren,789,10387
\bhaps\b,Haps,790,11283
\bharderw(ij|y)k\b,Harderwijk,243,10786
\bhardinxveld\b,Hardinxveld,1070,10167
\bharen\b,Haren,17,11058
\bharenkarspel\b,Harenkarspel,395,10963
\bharlingen\b,Harlingen,72,10909
\bharmelen\b,Harmelen,318,10183
\bhaskerland\b,Haskerland,73,10022
\bhasselt\b,Hasselt,161,10115
\bhattem\b,Hattem,244,10673
\bhavelte\b,Havelte,117,10186
\bhazerswoude\b,Hazerswoude,524,11257
\bhedel\b,Hedel,245,10982
\bhedikhuizen\b,Hedikhuizen,1071,11130
\bheel[\s\w]?en[\s\w]?panheel\b,Heel en Panheel,915,11208
\bheemskerk\b,Heemskerk,396,10679
\bheemstede\b,Heemstede,397,11288
\bheenvliet\b,Heenvliet,525,10823
\bheer\b,Heer,916,11407
\bheerde\b,Heerde,246,10291
\bheerewaarden\b,Heerewaarden,247,10067
\bheerhugowaard\b,Heerhugowaard,398,10752
\bheerjansdam\b,Heerjansdam,526,10540
\bheerlen\b,Heerlen,917,10902
\bheesch\b,Heesch,791,10149
\bheesw(ij|y)k\b,Heeswijk,1072,11229
\bheeze\b,Heeze,793,10462
\bhei[\s\w]?[\s\w]?en[\s\w]?boeicop\b,Hei- en Boeicop,527,11024
\bhe(ij|y)thu(ij|y)(s|z)en\b,Heille,1073,11309
\bheiloo?\b,Heiloo,399,10793
\bheinenoord\b,Heinenoord,528,10821
\bheinkenszand\b,Heinkenszand,672,10413
\bheino\b,Heino,162,10854
\bhekelingen\b,Hekelingen,1074,10873
\bhekendorp\b,Hekendorp,1075,10217
\bhelden\b,Helden,918,10205
\bhellendoorn\b,Hellendoorn,163,10806
\bhellevoetsluis\b,Hellevoetsluis,530,11078
\bhelmond\b,Helmond,794,10932
\bhelvoirt\b,Helvoirt,795,10389
\bhemelumer[\s\w]?oldephaert[\s\w]?en[\s\w]?noordwolde\b,Hemelumer Oldephaerd en Noordwolde,1260,10334
\bhemmen\b,Hemmen,1076,11162
\bhendrik[\s\w]?ido[\s\w]?ambacht\b,Hendrik-Ido-Ambacht,531,10416
\bhengeloo?\b,Hengelo (Gld.),248,10359
\bhengeloo?\b,Hengelo (O.),164,10907
\bhengstd(ij|y)k\b,Hengstdijk,1077,10636
\bhennaarderadeel\b,Hennaarderadeel,76,10877
\bhensbroek\b,Hensbroek,401,10181
\bherkingen\b,Herkingen,1078,10267
\bherpen\b,Herpen,1079,11262
\bherpt\b,Herpt,1080,10845
\bherten\b,Herten,919,10138
\bherwen[\s\w]?en[\s\w]?aerdt\b,Herwen en Aerdt,249,10819
\bherw(ij|y)nen\b,Herwijnen,250,11266
\bhet[\s\w]?bildt\b,het Bildt,63,10128
\bheteren\b,Heteren,251,10290
\bheukelum\b,Heukelum,533,11308
\bheumen\b,Heumen,252,10600
\bheusden\b,Heusden,797,10307
\bhe(ij|y)thu(ij|y)(s|z)en\b,Heythuysen,920,10840
\bhillegersberg\b,Hillegersberg,1081,10227
\bhillegom\b,Hillegom,534,11236
\bhilvarenbeek\b,Hilvarenbeek,798,11297
\bhilversum\b,Hilversum,402,11285
\bhindeloopen\b,Hindeloopen,77,10672
\bhoedekenskerke\b,Hoedekenskerke,673,11072
\bhoek\b,Hoek,674,10038
\bhoenkoop\b,Hoenkoop,319,10611
\bhoensbroek\b,Hoensbroek,921,11177
\bhoevelaken\b,Hoevelaken,253,11358
\bhoeven\b,Hoeven,799,10065
\bhof[\s\w]?van[\s\w]?delft\b,Hof van Delft,1082,10089
\bholten\b,Holten,165,11246
\bhontenisse\b,Hontenisse,675,11123
\bhoofdplaat\b,Hoofdplaat,676,10147
\bhoog[\s\w]?blokland\b,Hoogblokland,535,11040
\bhooge[\s\w]?mierde|hooge[\s\w]?en[\s\w]?lage[\s\w]?mierde\b,Hooge en Lage Mierde,801,10476
\bzwaluwe\b,Hooge en Lage Zwaluwe,802,11318
\bhoogeloo(n|n[\s\w]?[\s\w]?hapert[\s\w]?e?n?[\s\w]?casteren)\b,"Hoogeloon, Hapert en Casteren",800,10657
\bhoogeveen\b,Hoogeveen,118,10839
\bhoogezand\b,Hoogezand,1083,10410
\bhoogkarspel\b,Hoogkarspel,403,10642
\bhoogkerk\b,Hoogkerk,1084,10953
\bhoogland\b,Hoogland,320,10545
\bhoogvliet\b,Hoogvliet,1085,10348
\bhoogwoud\b,Hoogwoud,404,11029
\bhoorn\b,Hoorn,405,11392
\bhoornaar\b,Hoornaar,536,10516
\bhorn\b,Horn,922,11176
\bhorssen\b,Horssen,254,10607
\bhorst\b,Horst,923,11108
\bhouten\b,Houten,321,10230
\bhouthem\b,Houthem,1086,11111
\bhuij?bergen\b,Huijbergen,803,10466
\bhuisselin(g|g[\s\w]?e?n?neerloon)\b,Huisseling en Neerloon,1088,10049
\bhuissen\b,Huissen,255,11047
\bhuizen\b,Huizen,406,11170
\bhulsberg\b,Hulsberg,924,11216
\bhulst\b,Hulst,677,11408
\bhummelo[\s\w]?en[\s\w]?keppel\b,Hummelo en Keppel,256,11235
\bhunsel\b,Hunsel,925,10784
\bhurwenen\b,Hurwenen,1089,11432
\bidaarderadeel\b,Idaarderadeel,78,10815
\b(ij|y)lst\b,IJlst,102,11062
\b(ij|y)sselmonde\b,IJsselmonde,1230,11357
\b(ij|y)sselmuiden\b,IJsselmuiden,191,10641
\b(ij|y)sselstein\b,IJsselstein,353,10152
\b(ij|y)zend(ij|y)ke\b,IJzendijke,730,10688
\b(ij|y)zendoorn\b,IJzendoorn,1231,11430
\bilpendam\b,Ilpendam,407,10809
\bitteren\b,Itteren,926,10458
\bittervoort\b,Ittervoort,1090,10190
\bjaarsveld\b,Jaarsveld,1091,10847
\bjabeek\b,Jabeek,927,10256
\bjisp\b,Jisp,408,10481
\bjutphaas\b,Jutphaas,322,10374
\bkamerik\b,Kamerik,323,10554
\bkampen\b,Kampen,166,10253
\bkamperveen\b,Kamperveen,1092,10443
\bkantens\b,Kantens,20,10372
\bkapelle\b,Kapelle,678,11223
\bkatendrecht\b,Katendrecht,1093,11401
\bkats\b,Kats,1094,10919
\bkattend(ij|y)ke\b,Kattendijke,679,11218
\bkatw(ij|y)k\b,Katwijk,537,10707
\bkatwoude\b,Katwoude,409,11136
\bkedichem\b,Kedichem,538,10280
\bkerkrade\b,Kerkrade,928,10313
\bkerkwerve\b,Kerkwerve,1095,10837
\bkerkw(ij|y)k\b,Kerkwijk,257,10791
\bkessel\b,Kessel,929,10890
\bkesteren\b,Kesteren,258,10916
\bkethel[\s\w]?en[\s\w]?spaland\b,Kethel en Spaland,1096,10551
\bklaaswaal\b,Klaaswaal,539,10284
\bklimmen\b,Klimmen,930,10977
\bkloetinge\b,Kloetinge,680,10155
\bkloosterburen\b,Kloosterburen,21,10628
\bklundert\b,Klundert,804,10656
\bkockengen\b,Kockengen,324,10765
\bkoed(ij|y)k\b,Koedijk,410,10510
\bkoewacht\b,Koewacht,681,10892
\bkollumerland\b|\bnieuwkruisland\b,Kollumerland en Nieuwkruisland,79,10984
\bkoog[\s\w]?(aan[\s\w]?de|a[\s\w]?d[\s\w]?)[\s\w]?zaan\b,Koog aan de Zaan,411,10776
\bkortenhoef\b,Kortenhoef,1097,10467
\bkortgene\b,Kortgene,682,10250
\bkoudekerk\b,Koudekerk,540,10029
\bkoudekerke\b,Koudekerke,1098,11428
\bkrabbend(ij|y)ke\b,Krabbendijke,684,11038
\bkralingen\b,Kralingen,1099,11367
\bkrimpen[\s\w]?(a[\s\w]?d[\s\w]?|aan[\s\w]?den?)[\s\w]?(ij|y)ssel\b,Krimpen aan de Lek,541,10617
\bkrimpen[\s\w]?(aan[\s\w]?de|a[\s\w]?d[\s\w]?)[\s\w]?lek\b,Krimpen aan den IJssel,542,10859
\bkrommenie\b,Krommenie,413,10373
\bkruiningen\b,Kruiningen,685,10077
\bkuinre\b,Kuinre,167,11148
\bkwad(ij|y)k\b,Kwadijk,414,10775
\blaag[\s\w]?nieuwkoop\b,Laag-Nieuwkoop,1100,10305
\blandsmeer\b,Landsmeer,415,11225
\blangbroek\b,Langbroek,325,11413
\blangerak\b,Lange Ruige Weide,1101,10900
\blange[\s\w]?ruige[\s\w]?weide\b,Langerak,543,11127
\blaren\b,Laren (Gld.),259,10098
\blaren\b,Laren (NH.),417,10649
\bleek\b,Leek,22,10604
\bleende\b,Leende,805,11017
\bleens\b,Leens,23,11050
\bleerbroek\b,Leerbroek,544,10465
\bleerdam\b,Leerdam,545,10685
\bleersum\b,Leersum,326,11142
\bl(eeu|iw|ieu)ward(en|\.)\b|\bljouwert \b,Leeuwarden,80,11228
\bleeuwarderadeel\b,Leeuwarderadeel,81,10851
\ble(i|y)den|leid(s|sch)e\b,Leiden,546,10702
\ble(ij?|y)derdorp\b,Leiderdorp,547,10058
\bleimuiden\b,Leimuiden,549,11351
\blekkerkerk\b,Lekkerkerk,550,10050
\blemsterland\b,Lemsterland,82,10142
\bleusden\b,Leusden,327,10978
\blexmond\b,Lexmond,551,10930
\blichtenvoorde\b,Lichtenvoorde,260,10242
\bliempde\b,Liempde,806,10390
\blienden\b,Lienden,261,11093
\blierop\b,Lierop,1102,11279
\blieshout\b,Lieshout,807,10637
\blimbricht\b,Limbricht,931,11124
\blimmen\b,Limmen,418,11370
\blinden\b,Linden,1103,11305
\blinne\b,Linne,932,10990
\blinschoten\b,Linschoten,328,11324
\blisse\b,Lisse,553,10197
\blith\b,Lith,808,11219
\blitho(ij|y)en\b,Lithoijen,1104,10024
\blochem\b,Lochem,262,11263
\bloenen\b,Loenen,329,11202
\bloenersloot\b,Loenersloot,1105,10208
\blonneker\b,Lonneker,1106,11045
\bloon[\s\w]?op[\s\w]?zand\b,Loon op Zand,809,11259
\bloosdrecht\b,Loosdrecht,330,10639
\bloosduinen\b,Loosduinen,1107,10997
\blopik\b,Lopik,331,10333
\bloppersum\b,Loppersum,24,10934
\blosser\b,Losser,168,11166
\blu(ij|y)ksgestel\b,Luyksgestel,810,10011
\bmaarheeze\b,Maarheeze,811,11143
\bmaarn\b,Maarn,332,10392
\bmaarssen\b,Maarssen,333,10191
\bmaarsseveen\b,Maarsseveen,1108,10874
\bmaartensd(ij|y)k\b,Maartensdijk,334,10691
\bmaasbracht\b,Maasbracht,933,10964
\bmaasbree\b,Maasbree,934,11352
\bmaasdam\b,Maasdam,554,11019
