Location_Regex,n_both,n_total,Normalized_Mentions
n(ij|y)me(gen|eeg.*)|nijm\.,47,280,0.16785714285714284
nisse,77,858,0.08974358974358974
nistelrode,3,9,0.3333333333333333
noorbeek,0,1,0.0
noordbroek,0,0,0.0
noordd(ij|y)k,0,1,0.0
noordeloos,3,16,0.1875
noordgouwe,0,5,0.0
noord.?scharwoude,0,3,0.0
noordwelle,0,0,0.0
noordw(ij|y)k,9,56,0.16071428571428573
noordw(ij|y)kerhout,3,20,0.15
nootdorp,1,23,0.043478260869565216
norg,4,21,0.19047619047619047
nuene(n|n.?.?gerwen.?.?en.?nederwetten),0,1,0.0
nuland,0,3,0.0
numansdorp,3,18,0.16666666666666666
nunhem,0,0,0.0
nuth,1,7,0.14285714285714285
obbichten(.?|.?en.?)papenhoven,0,0,0.0
obdam,1,5,0.2
od(ij|y)k,0,17,0.0
odoorn,2,9,0.2222222222222222
oeffelt,0,4,0.0
oegstgeest,5,20,0.25
oerle,1,22,0.045454545454545456
oh(e|é).?en.?laak,1,4,0.25
o(ij|y)e(n|n.?en.?teeffelen),41,389,0.10539845758354756
oirsbeek,0,1,0.0
oirschot,3,19,0.15789473684210525
oisterw(ij|y)k,6,23,0.2608695652173913
oldebroek,0,11,0.0
oldehove,1,4,0.25
oldekerk,0,4,0.0
oldemarkt,8,39,0.20512820512820512
oldenzaal,4,32,0.125
olst,85,675,0.1259259259259259
ommen,84,696,0.1206896551724138
ommen,84,696,0.1206896551724138
onstwedde,1,8,0.125
ooltgensplaat,2,13,0.15384615384615385
oostburg,2,36,0.05555555555555555
oostdongeradeel,3,9,0.3333333333333333
oostelbeers,0,0,0.0
oost.?en.?west.?souburg,0,0,0.0
oosterhesselen,0,2,0.0
oosterhout,16,78,0.20512820512820512
oosterland,7,18,0.3888888888888889
oosthuizen,2,6,0.3333333333333333
oostkapelle,0,2,0.0
ooststellingwerf,3,11,0.2727272727272727
oostvoorne,1,8,0.125
oostzaan,2,30,0.06666666666666667
ootmarsum,2,12,0.16666666666666666
ophemert,3,17,0.17647058823529413
oplo(o?|o?.?.?(sint|st.?).?anthonis.?e?n?.?ledeacker),19,216,0.08796296296296297
opmeer,1,5,0.2
opperdoes,0,5,0.0
opsterland,1,7,0.14285714285714285
oss,124,1359,0.09124356144223694
ossendrecht,0,6,0.0
ossenisse,0,0,0.0
oterleek,0,2,0.0
ottersum,0,1,0.0
ottoland,1,10,0.1
ouddorp,0,11,0.0
oude.?niedorp,0,1,0.0
oude.?pekela,0,10,0.0
oudelande,0,0,0.0
oud.?en.?nieuw.?gastel,0,1,0.0
oudenbosch,0,12,0.0
oudend(ij|y)k,1,11,0.09090909090909091
oudenhoorn,1,10,0.1
oudenr(ij|y)n,1,7,0.14285714285714285
ouder.?amstel,2,15,0.13333333333333333
ouderkerk.?(a.?d|aan.?den?).?(ij|y)ssel,3,19,0.15789473684210525
oudewater,3,23,0.13043478260869565
oudheusden,0,3,0.0
oudkarspel,0,1,0.0
oudorp,1,5,0.2
oudshoorn,6,49,0.12244897959183673
oud.?valkenburg,0,2,0.0
oud.?vossemeer,1,1,1.0
oud.?vroenhoven,0,0,0.0
ouwerkerk,2,7,0.2857142857142857
overasselt,0,0,0.0
overschie,5,44,0.11363636363636363
overslag,1,11,0.09090909090909091
ovezande,0,0,0.0
pannerden,0,1,0.0
papekop,0,6,0.0
papendrecht,3,17,0.17647058823529413
peize,2,9,0.2222222222222222
pernis,5,28,0.17857142857142858
petten,5,80,0.0625
